candidate_id	name	slug	official_url	domain	candidate_scope	category	chain_scope	priority	status	status_guess	checked_against	duplicate_result	needs_full_data_file_scan	batch	marketplace_id	event_id	evidence_ids	consumed_at	notes
mag_candidate_000621	Zerion Genesis Market	zerion-genesis-market	https://zerion.io/	zerion.io	brand_marketplace	collectibles	ethereum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000622	Rainbow NFT Drops	rainbow-nft-drops	https://rainbow.me/	rainbow.me	brand_marketplace	collectibles	ethereum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000623	Coinbase Wallet Quest NFTs	coinbase-wallet-quest-nfts	https://www.coinbase.com/wallet	coinbase.com	brand_marketplace	collectibles	ethereum,base	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000624	MetaMask Portfolio NFT Gallery	metamask-portfolio-nft-gallery	https://portfolio.metamask.io/	portfolio.metamask.io	brand_marketplace	collectibles	ethereum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000625	Frame NFT Gallery	frame-nft-gallery	https://frame.sh/	frame.sh	brand_marketplace	collectibles	ethereum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000626	MintKudos Market	mintkudos-market	https://mintkudos.xyz/	mintkudos.xyz	brand_marketplace	collectibles	polygon	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000627	Guild Collectibles Market	guild-collectibles-market	https://guild.xyz/	guild.xyz	brand_marketplace	collectibles	multi_chain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000628	Otterspace Badge Market	otterspace-badge-market	https://otterspace.xyz/	otterspace.xyz	brand_marketplace	collectibles	ethereum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000629	GitPOAP Collectibles	gitpoap-collectibles	https://www.gitpoap.io/	gitpoap.io	brand_marketplace	collectibles	ethereum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000630	POAP Gallery Market	poap-gallery-market	https://poap.gallery/	poap.gallery	brand_marketplace	collectibles	ethereum,gnosis	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000631	POAP Delivery Drops	poap-delivery-drops	https://poap.delivery/	poap.delivery	brand_marketplace	collectibles	ethereum,gnosis	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000632	Proof of Attendance Gallery	proof-of-attendance-gallery	https://poap.xyz/	poap.xyz	brand_marketplace	collectibles	gnosis,ethereum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000633	IYK Collectibles Market	iyk-collectibles-market	https://iyk.app/	iyk.app	infrastructure_marketplace	collectibles	ethereum,base	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000634	Tokenproof Collectibles Market	tokenproof-collectibles-market	https://tokenproof.xyz/	tokenproof.xyz	infrastructure_marketplace	collectibles	ethereum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000635	Tokenproof Drops Market	tokenproof-drops-market	https://tokenproof.xyz/	tokenproof.xyz	infrastructure_marketplace	creator_tools	ethereum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000636	Premint Allowlist Collectibles	premint-allowlist-collectibles	https://www.premint.xyz/	premint.xyz	creator_marketplace	creator_tools	ethereum	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000637	Fair.xyz Mint Platform	fair-xyz-mint-platform	https://fair.xyz/	fair.xyz	creator_marketplace	creator_tools	ethereum	P2	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000638	Thirdweb Marketplace Templates	thirdweb-marketplace-templates	https://thirdweb.com/	thirdweb.com	infrastructure_marketplace	creator_tools	multi_chain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000639	Thirdweb Edition Drops	thirdweb-edition-drops	https://thirdweb.com/	thirdweb.com	creator_marketplace	creator_tools	multi_chain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000640	Crossmint Collections Market	crossmint-collections-market	https://www.crossmint.com/	crossmint.com	infrastructure_marketplace	creator_tools	multi_chain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000641	MoonPay NFT Checkout Market	moonpay-nft-checkout-market	https://www.moonpay.com/nft-checkout	moonpay.com	infrastructure_marketplace	creator_tools	multi_chain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000642	Winter NFT Checkout Market	winter-nft-checkout-market	https://www.usewinter.com/	usewinter.com	infrastructure_marketplace	creator_tools	multi_chain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000643	Magic Link NFT Checkout	magic-link-nft-checkout	https://magic.link/	magic.link	infrastructure_marketplace	creator_tools	multi_chain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000644	Privy NFT Checkout	privy-nft-checkout	https://www.privy.io/	privy.io	infrastructure_marketplace	creator_tools	multi_chain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000645	Dynamic NFT Onboarding	dynamic-nft-onboarding	https://www.dynamic.xyz/	dynamic.xyz	infrastructure_marketplace	creator_tools	multi_chain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000646	Web3Auth NFT Onboarding	web3auth-nft-onboarding	https://web3auth.io/	web3auth.io	infrastructure_marketplace	creator_tools	multi_chain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
mag_candidate_000647	Claimr Collectible Campaigns	claimr-collectible-campaigns	https://claimr.io/	claimr.io	creator_marketplace	creator_tools	multi_chain	P3	candidate	unknown	pending	candidate_seed_unverified	true						Seed only.
